transcript_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
ENSDART00000137319,0,0,0,0,0,0
ENSDART00000093312,0,0,41,0,56,35
ENSDART00000093310,0,0,175,123,64,69
MSTRG.22178.1,0,33,65,42,32,41
MSTRG.16278.1,0,11,0,0,0,0
MSTRG.18721.1,0,0,22,0,0,0
MSTRG.3501.2,0,0,0,331,0,143
MSTRG.3501.1,94,512,840,769,782,809
ENSDART00000124129,16,1,17,1,8,1
MSTRG.45355.1,0,7,11,7,12,3
MSTRG.41599.1,4,77,52,46,17,23
ENSDART00000023006,28,108,130,162,104,227
ENSDART00000119414,0,0,0,0,1,0
MSTRG.2759.1,0,3,12,0,0,1
ENSDART00000119419,0,0,0,0,0,0
ENSDART00000005985,45,350,439,542,712,759
MSTRG.26589.1,0,4,0,8,0,9
ENSDART00000168079,0,0,0,0,0,51
ENSDART00000168078,0,0,0,0,0,0
ENSDART00000168077,0,13,6,0,3,9
ENSDART00000168076,0,8,0,0,0,0
ENSDART00000168075,0,98,130,107,198,213
ENSDART00000168074,0,0,0,0,0,0
ENSDART00000168073,0,0,0,0,0,0
ENSDART00000168072,3,3,0,0,0,7
ENSDART00000168071,0,0,0,0,0,0
ENSDART00000168070,31,121,76,194,145,180
ENSDART00000124121,0,0,0,0,0,0
MSTRG.31780.2,0,109,78,240,167,256
MSTRG.20409.1,0,20,4,2,24,11
ENSDART00000057052,0,3,0,10,0,10
ENSDART00000057053,0,0,0,0,0,4
ENSDART00000154748,248,2257,3468,3947,2814,2942
ENSDART00000154746,0,0,0,0,0,0
ENSDART00000154747,0,0,0,0,0,0
ENSDART00000154745,8,140,126,189,211,266
ENSDART00000154742,0,0,0,0,0,0
ENSDART00000154743,1,12,7,5,4,5
ENSDART00000154741,0,0,0,0,0,3
MSTRG.43318.1,19,45,60,103,169,113
MSTRG.32734.1,0,30,0,17,21,42
MSTRG.32669.1,0,3,17,0,18,3
ENSDART00000101298,0,33,0,0,0,14
MSTRG.27082.9,0,0,0,152,0,0
MSTRG.27082.8,0,0,0,32,0,0
ENSDART00000101292,23,110,134,111,125,158
MSTRG.27082.4,0,0,0,37,0,0
MSTRG.27082.7,0,0,0,27,0,0
MSTRG.27082.6,0,0,0,24,0,0
ENSDART00000101296,0,0,0,0,0,0
MSTRG.27082.3,0,0,0,48,0,0
ENSDART00000101295,11,76,133,208,135,235
ENSDART00000153286,0,0,0,0,0,0
ENSDART00000153287,0,0,0,0,0,0
ENSDART00000153284,71,215,929,375,340,605
ENSDART00000153285,0,3,1,64,17,42
ENSDART00000153282,48,311,193,298,0,338
ENSDART00000153283,0,4,0,0,7,4
ENSDART00000153280,0,0,8,3,0,9
ENSDART00000153281,0,3,0,0,0,3
MSTRG.1339.1,25,252,411,302,337,436
ENSDART00000149529,0,332,401,417,331,496
ENSDART00000078625,0,0,0,0,0,3
MSTRG.14830.1,13,71,94,101,106,149
MSTRG.7187.1,0,11,0,0,0,2
MSTRG.8236.1,0,0,0,16,0,0
MSTRG.3133.1,0,0,8,0,0,2
MSTRG.36359.1,0,14,0,0,0,1
ENSDART00000097340,12,107,118,28,136,336
ENSDART00000097345,0,36,79,85,69,68
ENSDART00000014572,0,0,0,0,0,0
ENSDART00000169852,271,3276,4278,5455,4582,6973
MSTRG.40416.1,149,2763,6562,3521,2011,3381
MSTRG.1062.1,3,146,224,121,145,159
MSTRG.40362.1,0,5,5,4,8,5
ENSDART00000169853,0,1,0,1,1,7
MSTRG.24624.1,6,138,317,492,87,143
MSTRG.27103.1,0,1,11,1,2,4
ENSDART00000150737,0,2,0,1,1,1
ENSDART00000024367,0,0,0,0,43,103
ENSDART00000150732,0,0,48,20,12,13
ENSDART00000150731,0,0,0,0,0,0
ENSDART00000121424,0,0,0,0,0,0
ENSDART00000121429,98,94,296,202,157,212
MSTRG.22324.2,27,187,166,279,363,360
ENSDART00000150739,0,0,0,0,3,0
ENSDART00000158100,0,2,5,20,0,10
ENSDART00000158101,0,43,75,46,72,72
ENSDART00000158102,0,0,0,0,0,0
ENSDART00000158103,8,0,0,5,7,0
ENSDART00000158104,0,132,217,355,303,394
ENSDART00000158105,0,16,0,0,6,26
ENSDART00000158106,0,0,0,0,0,1
MSTRG.22451.1,0,9,3,20,6,6
ENSDART00000158108,0,185,189,206,217,225
ENSDART00000158109,6,21,29,55,31,30
MSTRG.34757.1,0,0,0,22,0,0
ENSDART00000159855,0,4,3,8,1,1
ENSDART00000159854,0,0,0,0,0,0
ENSDART00000159857,4,3,1,4,1,1
ENSDART00000159856,0,0,0,0,0,0
ENSDART00000159851,0,25,0,235,65,17
ENSDART00000113012,7,0,198,289,0,0
ENSDART00000159853,0,0,0,0,7,7
ENSDART00000159852,0,0,0,0,0,4
ENSDART00000159859,0,1,3,29,53,39
ENSDART00000159858,0,0,0,0,0,0
ENSDART00000113019,0,0,0,0,0,0
MSTRG.6111.1,0,0,10,4,0,0
MSTRG.11982.1,0,2,0,12,1,0
MSTRG.40630.1,2,6,2,11,9,26
ENSDART00000176141,32,81,11,160,129,75
MSTRG.20407.1,0,0,0,12,32,0
ENSDART00000007074,0,4,0,0,0,2
ENSDART00000007079,179,1461,1636,2227,1561,1602
MSTRG.39957.1,0,10,2,7,3,10
ENSDART00000116751,1,47,48,41,60,75
MSTRG.11710.2,0,79,0,178,251,339
ENSDART00000035245,32,224,375,443,340,364
MSTRG.15980.1,0,12,0,3,13,3
ENSDART00000145270,1,2,2,2,2,3
ENSDART00000145271,0,1,3,4,16,3
ENSDART00000145272,71,899,914,979,877,1302
MSTRG.2729.6,0,0,0,0,24,3
MSTRG.2729.1,0,179,30,139,8,38
ENSDART00000145275,0,0,0,0,0,5
MSTRG.2729.3,0,0,15,0,0,3
MSTRG.16690.1,27,139,213,213,124,229
ENSDART00000145278,0,13,5,0,17,15
ENSDART00000145279,0,0,0,0,0,0
MSTRG.2729.9,0,0,0,402,0,52
MSTRG.2729.8,0,13,57,0,0,8
ENSDART00000159271,6,20,50,74,105,83
ENSDART00000159270,2,0,0,3,14,21
ENSDART00000159273,0,0,0,0,0,0
ENSDART00000159272,0,0,0,0,0,0
ENSDART00000159275,0,0,0,0,0,3
ENSDART00000159274,49,775,1199,1279,992,1577
ENSDART00000159277,0,0,0,0,0,0
ENSDART00000159276,0,0,0,0,0,3
ENSDART00000159279,0,0,0,0,0,0
ENSDART00000159278,67,236,428,462,211,261
MSTRG.18789.3,0,11,7,20,8,8
MSTRG.13922.1,0,0,0,0,16,0
ENSDART00000162661,0,0,0,0,0,0
ENSDART00000162662,1,2,6,7,1,5
MSTRG.20062.1,32,274,304,197,145,233
ENSDART00000162664,0,0,0,0,0,0
ENSDART00000162665,0,5,0,0,0,0
MSTRG.40563.2,98,387,513,592,403,483
ENSDART00000162668,0,27,90,64,9,84
ENSDART00000162669,0,133,0,0,17,15
MSTRG.40599.1,0,0,11,0,0,9
MSTRG.2571.1,1,2,13,15,2,8
MSTRG.20123.1,13,95,192,107,123,198
MSTRG.28075.1,27,231,261,335,291,347
ENSDART00000151465,0,0,0,0,0,0
MSTRG.9700.5,0,511,352,0,446,708
MSTRG.9700.4,0,270,1070,1581,88,862
MSTRG.21260.1,0,0,0,0,19,0
ENSDART00000151461,0,0,0,0,5,2
ENSDART00000151463,0,0,0,0,0,0
ENSDART00000151469,0,0,0,0,0,0
ENSDART00000117804,0,0,0,0,0,0
ENSDART00000117800,0,0,0,0,0,0
ENSDART00000125439,0,8,5,1,2,87
ENSDART00000125430,4,108,100,147,93,86
ENSDART00000125431,109,12,0,0,0,0
ENSDART00000125432,225,703,2004,336,401,526
ENSDART00000135922,0,0,0,0,0,0
MSTRG.8851.1,0,0,0,2,24,0
ENSDART00000125436,7,118,5,218,180,215
MSTRG.19647.1,2,114,242,179,105,211
MSTRG.44340.1,0,15,4,3,0,7
MSTRG.32957.1,0,4,13,0,23,34
MSTRG.27809.2,57,98,175,213,160,275
MSTRG.1480.1,0,4,0,0,14,0
MSTRG.8932.1,8,18,37,35,27,23
MSTRG.12947.1,0,8,0,21,0,0
MSTRG.26993.1,0,0,0,17,0,0
ENSDART00000161311,15,266,324,311,300,420
MSTRG.25844.1,3,7,3,21,16,15
ENSDART00000161313,0,1,0,1,0,0
ENSDART00000161312,5,24,30,41,15,22
ENSDART00000161315,0,0,0,0,0,0
ENSDART00000161314,0,25,358,10,218,264
ENSDART00000161317,0,0,0,0,0,0
ENSDART00000161316,0,0,0,13,0,18
ENSDART00000161319,139,1,854,153,723,174
MSTRG.10355.1,0,13,14,0,0,2
ENSDART00000132024,0,643,28,36,20,2462
MSTRG.13135.1,0,8,0,0,0,0
ENSDART00000065575,0,0,0,0,73,0
MSTRG.14607.3,0,0,0,0,0,171
ENSDART00000127285,0,0,0,0,0,0
MSTRG.14607.5,21,1,13,1,0,10
ENSDART00000127286,11,69,175,48,34,123
MSTRG.10069.1,0,33,12,47,34,45
MSTRG.13443.3,0,0,0,0,259,400
MSTRG.13443.2,11,244,1,0,133,84
MSTRG.13443.1,8,37,363,371,0,42
MSTRG.12689.1,9,10,5,3,7,17
ENSDART00000006867,418,1949,4338,2859,3520,2818
ENSDART00000173850,0,0,0,0,0,0
ENSDART00000124749,0,49,43,78,21,59
ENSDART00000124748,501,2866,5591,7352,6343,9194
ENSDART00000134496,0,6,34,0,3,8
ENSDART00000050399,45,359,294,546,458,453
ENSDART00000124741,0,0,0,0,0,0
ENSDART00000124740,66,441,751,796,392,544
ENSDART00000124742,0,50,57,6,19,7
ENSDART00000124745,0,0,0,0,0,0
ENSDART00000179398,4,7,20,13,15,21
ENSDART00000134498,0,0,0,0,0,0
MSTRG.30677.1,86,844,1293,1333,1148,1671
ENSDART00000014964,0,23,36,0,1,26
ENSDART00000179390,0,0,0,0,0,0
MSTRG.37639.1,0,0,0,14,24,70
ENSDART00000179392,0,0,0,0,0,0
ENSDART00000179393,35,96,254,139,138,109
ENSDART00000179394,0,0,0,0,0,0
ENSDART00000179395,0,0,7,0,0,0
ENSDART00000179396,0,0,0,0,0,0
ENSDART00000179397,0,0,0,0,0,0
MSTRG.23739.1,3,20,37,43,82,72
MSTRG.18521.1,8,187,230,166,146,259
MSTRG.34112.2,10086,39319,82581,76765,152119,97702
MSTRG.34112.1,2726,10338,56887,72403,58912,61880
ENSDART00000056772,10,25,55,153,79,167
MSTRG.34112.6,0,1,0,172945,208877,95389
MSTRG.34112.5,1,921,27793,31661,28766,2410
MSTRG.34112.4,0,0,0,0,0,6349
MSTRG.36630.1,37,372,531,534,521,769
MSTRG.36791.1,0,0,0,1,11,2
ENSDART00000164095,0,0,0,11,3,13
ENSDART00000164094,0,0,0,0,0,0
ENSDART00000164097,3,23,12,44,42,33
ENSDART00000164096,0,0,0,0,0,0
ENSDART00000164091,221,1268,2996,3394,2865,1117
ENSDART00000164090,0,0,0,13,0,0
ENSDART00000164093,0,0,0,0,0,0
ENSDART00000164092,30,57,81,80,85,130
ENSDART00000082276,0,0,0,0,0,0
ENSDART00000164099,0,0,83,212,0,400
ENSDART00000164098,0,0,0,0,0,0
MSTRG.5392.1,5,116,189,201,123,230
MSTRG.40085.2,0,0,156,0,250,0
ENSDART00000171545,6,49,4,9,90,7
MSTRG.26794.1,0,0,24,0,0,0
ENSDART00000171547,0,0,0,0,0,0
ENSDART00000171546,11,2,255,4,264,167
ENSDART00000171541,0,0,0,0,0,0
ENSDART00000004756,63,291,301,572,370,285
ENSDART00000171543,0,0,0,0,0,0
ENSDART00000171542,13,211,0,317,0,351
MSTRG.40104.1,0,2,10,0,0,16
ENSDART00000171549,0,0,0,0,0,0
ENSDART00000171548,0,0,0,0,0,0
MSTRG.26913.1,0,19,58,2,0,53
