Geneid	Length	Sample.A	Sample.B	Sample.C	Sample.D	Sample.E	Sample.F
Q8CJ67-3	3119	250	592	434	452	470	433
Q8CJ67-5	1193	13	10	41	32	15	30
NP_001257945	1536	0	0	0	5	0	2
NP_001257946	3059	0	0	0	0	0	0
A0A0A0MQF3	4256	2	12	14	8	10	22
uc033fif.1	3035	0	0	0	0	0	0
P83940	2123	0	2	2	0	3	13
A0A087WNT1	2145	0	0	2	10	2	3
uc029qna.1	2788	0	3	9	2	0	0
A0A0R4J272	1732	0	0	0	0	0	0
Q921N7	1729	0	0	0	0	0	0
uc056ych.1	1278	5	7	5	8	3	5
Q9JHF9	603	3	5	0	0	0	0
A0A087WQZ9	549	0	0	0	0	0	0
Q9ET80	4807	103	133	407	267	117	332
O88741-2	2193	0	0	0	0	0	0
O88741	3937	0	2	35	25	3	30
uc007akd.1	1009	0	0	0	0	0	0
uc029qnb.1	46	0	0	0	0	0	0
A0A0R4J126	6923	5	15	625	185	2	280
uc007akf.1	2264	0	0	0	0	0	0
uc056yci.1	5210	0	0	3	0	0	0
Q8CGD2	4089	2	12	632	613	8	600
Q9D259	1193	0	0	0	0	0	0
E9PVG4	1369	0	0	0	0	0	0
G5E862	1252	0	0	0	0	0	0
uc007akl.1	222	0	0	0	0	0	0
Q30KP5	258	0	0	0	0	0	0
Q30KP6-2	469	0	0	0	0	0	0
Q30KP6	256	0	0	0	0	0	0
Q91ZK0	1747	0	0	0	0	0	0
Q8CE69	3831	0	0	0	0	0	0
Q61313	6156	0	0	0	0	0	0
Q8CBL0	862	0	0	0	0	0	0
E9Q5N4	6167	0	0	0	0	0	0
uc029qnc.1	48	0	0	0	0	0	0
E9PZ36	12928	0	7	0	2	0	0
uc029qnd.1	786	0	0	0	0	0	0
Q3UNU5	1629	0	0	0	0	0	0
uc029qne.1	521	0	0	0	0	0	0
uc011win.1	3878	0	0	0	0	0	0
Q62386	1171	0	0	0	0	0	0
uc029qnf.1	39	0	0	0	0	0	0
Q7TNI7	1221	0	0	0	0	0	0
uc007alb.1	370	0	0	0	0	0	0
P25206	2886	1235	2451	1012	240	775	317
uc029qng.1	1120	0	0	3	0	0	0
Q80ZE5	4470	2	7	186	173	13	188
B2CKC6	2208	13	10	145	187	28	188
Q924Z5	1390	128	135	168	222	142	223
uc007alh.1	372	3	3	3	0	2	0
D3YV08	1351	0	0	5	0	2	0
P56983	1168	0	0	0	0	0	0
NP_001275546	1515	0	0	0	0	0	0
P30115	1470	0	0	0	0	0	0
uc007alm.1	1148	0	0	0	0	0	0
Q3UWR2	1950	0	0	0	2	0	5
Q4KL78	844	0	0	0	8	0	7
uc029qnh.1	31	0	0	0	0	0	0
P0C7A0	2247	0	0	5	10	0	3
E9Q9F1	7692	0	0	0	0	0	3
Q9JK45	7635	0	0	0	0	0	0
G3UYG5	7608	0	0	0	0	0	0
Q7TPL9	825	0	0	0	0	0	0
Q99NE5	2189	0	0	0	0	0	0
Q99NE5-3	2105	0	0	0	0	0	0
Q99NE5-4	1922	0	0	0	0	0	0
NP_001012643	1478	0	0	0	0	0	0
uc007alx.2	772	0	0	0	0	0	0
Q99NE5-6	1877	0	0	0	0	0	0
Q6BCW5	1288	0	0	0	0	0	0
Q14BX6	1780	0	0	0	0	0	0
uc011wip.1	71	0	0	0	0	0	0
uc007ama.2	84	3	0	0	0	0	0
Q8VE52	4844	7552	18126	905	1007	14900	1000
uc007amc.1	1522	20	23	0	0	15	0
P59270-2	1823	0	0	0	3	0	0
P59270	4355	70	157	114	118	155	53
uc007amf.2	1885	0	0	2	2	0	3
NP_001277612	2083	0	0	0	0	0	0
Q91VZ6	2353	70	98	75	70	60	70
D3YVX4	1344	2	0	23	3	5	2
uc057aue.1	2422	15	30	36	23	8	35
Q8BTE0	667	280	255	306	305	253	220
uc011wiq.1	4852	0	2	2	0	0	0
Q6NS59	6503	48	110	100	160	105	140
uc007amn.2	2654	25	18	14	35	42	12
G3X995	3888	10	3	0	3	7	0
Q9D0D2	3097	415	237	141	10	375	27
Q0VF58	10897	7	2	11	0	8	0
F8WHV4	3362	0	0	0	0	0	0
uc007ams.1	842	174490	263096	145120	132899	249215	154769
Q8K0B2	5392	63	125	103	122	165	102
NP_001297412	5236	67	83	41	40	47	12
Q8BIW2	2861	0	0	0	0	0	0
Q80ZF8	5522	0	0	0	0	0	0
Q8BJ13	4623	0	0	0	0	0	0
Q8BNC4	1551	0	0	0	0	0	0
uc011wit.1	28	0	0	0	0	0	0
E9PWP9	4331	0	0	0	0	0	0
uc029qno.1	30	0	0	0	0	0	0
uc007ana.1	1793	0	0	0	0	0	0
E9Q8J5	2882	0	0	0	0	0	0
uc033fii.1	125	0	0	0	0	0	0
uc007anc.1	1166	0	0	0	0	0	0
uc007and.1	198	22	63	44	48	47	55
B2RQG2	7561	1735	3874	3403	4760	3701	4794
Q8BLA7	2882	17	107	50	48	65	38
Q63739	4129	6457	11061	12687	10832	9702	12431
Q9D4J5	1094	0	0	0	0	0	0
Q8CIX8	1903	0	0	0	0	0	0
Q9D4S9	850	0	0	0	0	0	0
Q3KNI6	1449	0	0	0	0	0	0
uc011wiu.1	914	0	0	0	0	0	5
uc029qnp.1	48	3	0	0	0	5	0
A0A087WSL3	3176	0	0	2	2	0	3
Q9WU01-2	5207	0	0	0	0	0	0
Q9WU01	1359	0	0	0	0	0	0
Q6IE03	1437	0	0	0	3	0	0
E9PXF3	3748	0	0	2	0	0	0
P33610	1976	325	612	388	295	408	278
Q3TL46	2132	0	0	2	0	10	0
uc007ans.2	27	0	0	0	0	0	0
uc029qnq.1	28	0	0	0	0	0	0
Q9CPU6	889	2	22	25	13	8	7
uc057auf.1	2311	0	0	2	0	0	0
M0QWL7	2548	3	0	0	2	5	3
P35288	1329	0	5	2	0	0	0
Q9D4I9	4584	68	83	432	655	82	677
Q91YN9	1815	547	1748	4280	2533	1467	3110
Q8C0P7	4030	15	20	50	43	30	35
NP_001277628	3792	0	0	0	0	0	0
Q8VCL4	2077	103	577	938	310	455	423
NP_001155288	3016	30	58	38	37	32	53
Q6PFX2	2438	0	0	0	0	0	0
NP_001297413	2230	0	0	0	0	0	0
uc011wiz.2	1726	0	0	0	0	0	0
Q6PFX2-2	1565	5	2	0	0	3	0
S4R1P5	24271	153	205	561	887	200	1198
A0A0A6YX28	2703	3	5	0	0	2	0
A0A0A6YXR1	2618	0	0	0	0	0	0
Q91ZU6	23252	0	0	0	0	0	0
Q91ZU6-2	17210	0	0	0	0	0	0
uc033fij.1	73	0	0	0	0	0	0
Q91ZU6-8	1198	13	10	164	245	10	245
Q91ZU6-5	8787	318	533	13507	19787	502	19132
uc007aom.1	2947	0	0	0	0	7	0
uc007aoo.2	3233	0	0	0	0	0	0
S4R2A8	2783	0	0	0	0	0	0
uc029qns.1	79	2	5	0	3	0	0
uc033fik.1	72	0	0	0	0	0	0
Q8VE99	1705	348	660	425	292	532	293
Q8VHZ7	2249	1073	2388	1073	875	1892	805
Q61152	1573	1774	2150	64	15	2512	27
Q3V441	398	5	2	0	0	0	0
uc007aou.1	718	2	12	0	0	5	0
O70169	1246	5	5	0	0	5	0
P97766	1038	0	0	0	0	0	0
uc011wjb.1	1622	0	0	0	0	0	0
A6H6T1	1301	0	0	3	0	0	2
Q6NS69	4356	0	0	0	0	0	0
uc007aoz.2	40	0	0	0	0	0	0
uc007apa.1	28	0	0	0	0	0	0
uc007apb.1	32	0	0	0	0	0	0
uc007apc.2	30	0	0	0	0	0	0
uc029qnt.1	52	0	0	0	0	0	0
uc029qnu.1	33	0	0	0	0	0	0
uc007apd.1	30	0	0	0	0	0	0
uc011wjd.1	2676	0	0	0	0	0	3
uc007ape.1	2673	0	3	6	25	17	15
E9PYK8	6234	3	30	71	130	60	155
uc007apg.1	2358	0	0	3	0	0	0
E0CY60	2980	0	0	7	0	3	2
Q7TNR9	2714	0	0	0	0	0	0
G3UWF0	5059	3	2	0	2	0	0
E9Q917	5044	0	0	0	0	0	0
Q80XQ8	5023	0	0	0	0	0	0
Q3UFC9	2794	5	23	5	3	7	5
Q9QZC7	3317	537	607	603	493	725	597
uc007apm.1	566	0	0	0	0	0	0
Q9QYK5	3719	5172	12843	8260	4499	11838	5370
uc007apo.2	6990	8	18	0	2	10	3
Q6P5E4	9029	723	863	575	567	560	530
uc033fin.1	62	0	3	0	0	0	0
Q8BWM7	2610	2	0	0	0	0	0
Q8CJC5	2583	27	10	45	65	10	100
A0A087WP78	833	0	0	2	2	0	5
Q3U108	5699	0	0	0	0	0	0
D3Z0W0	5794	10	10	12	15	7	25
NP_001165677	5696	0	0	0	0	0	0
NP_001277656	7281	92	92	305	603	48	472
Q3U108-4	5525	0	0	0	0	0	0
Q3U108-3	5981	0	0	0	0	0	0
A2RSY1	4760	0	15	9	10	17	5
A2RSY1-2	4663	0	0	0	0	0	0
A2RSY1-3	4551	0	0	0	0	0	0
uc033fio.1	77	0	0	7	23	0	30
P0DM40	6318	0	5	2	8	0	5
uc033fiq.1	1499	0	0	0	0	0	0
uc007aqb.2	1738	0	0	0	0	0	0
uc056ycl.1	5615	170	123	132	127	120	160
P59481	4110	25	35	27	25	55	2
D3Z4P2	2290	0	0	3	0	0	0
Q05CD1	2174	0	0	0	0	0	0
Q69ZF7	4582	700	850	1570	1527	528	1600
uc057auh.1	2159	5	5	6	2	0	10
Q32NY4-2	5283	0	0	0	0	0	5
Q32NY4	5184	0	0	0	0	0	0
uc011wjk.1	3736	0	0	0	0	0	0
Q812A3	2305	0	0	0	0	0	0
B7ZNT7	2206	0	0	0	0	0	0
NP_001297450	2307	0	0	0	0	0	0
Q8K1D0	2256	0	0	0	0	0	0
uc007aqp.2	2015	12	13	7	23	5	15
A0A0A6YWV1	1874	0	0	0	0	3	0
Q9D2X0	1839	0	0	0	0	0	0
Q64151	4292	2223	5277	9081	5573	4754	5780
uc007aqs.2	639	0	0	0	0	0	0
Q24JP3-4	905	0	0	0	0	0	0
E9PXB2	2282	0	0	0	0	0	0
E9PUL8	1664	0	0	0	0	0	0
Q9D881	569	3495	4967	4015	2543	4303	2711
Q8R5C5	2077	3231	5259	5688	5546	4561	6110
uc007aqy.2	1127	3	3	18	7	2	13
P43404	2435	0	0	0	0	0	0
NP_001276695	2255	0	0	0	0	0	0
NP_001276541	1343	0	0	3	3	0	0
P43404-3	1045	0	0	0	0	0	0
A4VCH7	2824	0	0	0	0	0	0
O70472	6548	1100	2368	2973	3280	1852	3566
A0A0A6YWT6	1240	0	0	0	0	0	0
Q8BH17	1769	0	0	0	0	0	0
uc011wjp.1	1305	0	0	0	0	0	0
uc007arh.2	831	0	0	0	0	0	0
A0A0A6YXW9	3609	0	0	0	0	0	0
Q9JJZ8	3554	0	0	0	0	0	0
Q3UEQ1	3753	3	0	5	5	7	10
D3Z230	5862	0	0	3	10	10	7
F6V2U0	5748	0	0	0	0	0	0
uc007arj.1	2910	10	25	25	15	15	8
uc007arm.1	405	0	0	0	0	0	0
E9QAD0	3004	0	0	0	0	0	0
NP_001277728	2968	0	0	0	0	0	0
A0A0R4J0Q2	2971	0	0	0	0	0	0
Q99M07	3862	2632	4901	1821	1920	3951	1985
Q9CQ61	1412	917	1420	947	1088	1260	993
Q812G0	7333	0	0	0	0	0	0
Q812G0-2	7172	0	0	0	0	0	0
uc011wjs.1	2755	15	13	5	0	35	2
E9Q3M9	4364	1567	2603	86	33	2292	47
uc007ary.1	929	22	20	0	0	18	0
Q6NY15	3607	0	2	0	0	0	3
NP_001277650	2725	0	0	0	0	0	0
Q6NY15-3	2708	0	0	0	0	0	0
Q3TDR6	3921	0	0	0	0	0	0
Q3TR21	3899	0	0	0	0	0	0
uc007asg.1	3089	0	0	0	3	0	0
Q8VCM4	1555	50	145	52	73	175	123
Q8VDV8	1229	285	280	447	610	210	778
Q9D7N6	691	735	1273	1488	1177	1120	1395
Q3V1I0	2564	0	0	0	0	0	0
Q9D7Q0	798	5	8	0	0	25	0
Q9CQ79	4638	1257	3769	1991	2128	3841	2325
Q05D44	7797	6164	13871	9295	6736	14933	8223
Q920Q2	4849	920	1552	1311	1040	1425	1095
D3YYI6	7251	0	5	429	387	2	438
P51827	2647	0	0	0	0	0	0
P51827-2	1646	0	0	3	0	0	0
uc007asw.1	1189	0	0	0	0	0	0
uc029qnv.1	3120	0	0	0	0	0	0
B2RT44	5077	0	2	2	0	3	0
A2RSS2	3119	0	0	0	0	0	0
Q6PGK7	2999	0	0	0	0	0	0
A0A0A6YXK3	5064	0	0	0	0	0	2
Q6PGK7-2	2438	0	0	3	0	0	0
Q5H8A1	1001	0	0	0	0	0	0
NP_001298717	977	0	0	0	0	0	0
Q8BVF2	1706	570	1781	4115	4529	1552	5016
uc033fiv.1	97	0	0	0	0	0	0
G3X9B7	4180	1127	625	64	30	765	30
A0A0A6YX26	730	7	25	18	13	10	17
P62900	1253	30	132	129	60	80	75
Q9Z1A9	4439	2596	1467	111	195	1438	153
A0A0A6YWY1	3559	145	53	5	7	40	5
Q9CWN7	3414	68	183	253	220	120	155
Q8C9T0	2491	0	5	0	0	5	0
uc007atk.1	1814	60	120	227	118	165	112
uc011wju.1	94	0	10	29	10	18	5
Q3U2C5	2434	3681	4797	2709	1407	4421	1543
Q8BGC9	5799	0	15	45	0	7	0
D3YU81	2000	3	0	5	0	5	5
F6S692	359	0	0	0	0	0	0
uc007atp.1	531	0	0	0	0	0	0
uc007atq.1	263	0	0	0	0	0	0
A0A0A6YW53	5782	0	0	0	0	0	0
A0A0A6YWR8	5905	0	3	6	5	0	3
B2RUE8	5581	0	0	0	0	0	0
B7ZNR9	5542	0	0	0	0	0	0
uc007att.2	858	0	0	16	20	3	17
P27931	1344	20	0	206	223	3	273
P13504	4739	10	7	0	2	5	3
NP_001116854	4808	3	3	14	10	2	5
Q9ERS7	1950	408	125	153	85	157	95
Q5D095	3132	2	5	23	5	5	12
P14719	5299	0	7	12	3	0	5
Q8C257	1950	0	0	0	0	0	0
A0A0A6YWA3	1932	0	0	0	0	0	0
uc033fiw.1	2829	0	0	0	0	0	0
Q61098	4158	173	83	7	10	317	2
Q3UV73	3012	7	0	0	0	0	0
Q9Z2B1	4889	350	137	16	5	203	12
Q8BUE1	3822	7711	835	36	50	1860	60
Q3TM63	1871	3	0	0	0	0	0
Q3ZAS0	3493	658	83	5	12	142	13
Q8C0T7	3282	183	170	36	32	202	12
B2RVY9	1096	5	3	59	78	5	60
uc029qny.1	573	0	0	0	0	0	0
uc007aur.1	507	0	0	0	0	0	0
uc007aus.1	642	0	0	0	0	0	0
uc007aut.1	595	0	0	0	0	0	0
uc007auu.1	546	0	0	0	0	0	0
uc007auv.1	1538	0	0	0	0	0	0
P31361	3064	0	2	0	0	0	0
uc007aux.2	2841	0	0	0	0	0	0
uc033fix.1	461	0	0	0	0	0	0
uc007auy.1	981	0	0	0	0	0	0
uc056ycq.1	2175	0	0	0	0	0	0
NP_076003	2473	2	13	5	18	10	27
Q9D7N3	1419	157	380	371	293	338	305
Q5XJX8	1186	10	5	0	8	18	0
uc007avc.2	2038	0	0	9	7	0	5
Q9EQQ4	3860	0	0	0	0	0	0
Q3UR70	5644	865	1353	777	1177	1152	1125
uc007avg.1	3160	7	15	3	5	7	0
Q3UR70-2	3604	10	27	5	3	18	0
Q922M7	3457	372	512	814	1380	463	1065
O70433	1677	35	435	3838	2809	520	3000
P47915	1992	7440	18441	13544	8699	16797	9817
uc007avn.1	1543	3	30	12	5	25	5
O55033	2775	965	1500	4759	4734	1782	4669
uc029qnz.1	21	0	0	0	0	0	2
Q99LS0	888	0	57	20827	2866	30	3591
Q91XL3	1263	785	630	297	342	518	310
Q3V3M8	1412	0	13	5	0	10	3
uc011wkb.2	3173	0	0	0	0	0	0
Q64514	4691	0	0	0	0	0	0
Q64514-2	4652	0	0	0	0	0	0
A0A087WQR6	1132	0	0	0	0	0	0
Q8BLU2	1086	8	2	0	0	3	5
uc007avw.1	3454	0	3	0	0	2	3
Q3TUU5	1635	1208	1138	809	632	792	705
Q9JHP7	3006	35	48	155	110	47	130
Q9JHP7-2	2114	0	0	0	0	0	0
Q8CBX9	3780	235	267	282	443	413	365
uc007awg.1	1779	13	5	43	20	8	18
Q3TUN4	3195	0	0	0	0	0	0
E9QM61	4010	78	155	271	345	180	375
Q8CDZ2	3181	0	0	0	0	0	0
Q8K2A1-2	1421	0	2	3	3	8	5
Q8K2A1	2976	0	0	0	0	0	0
uc007awn.2	2914	0	0	0	0	0	0
uc029qoa.1	906	3	8	0	2	2	5
Q9CSB7	3159	0	0	0	0	0	0
P08121	5564	1540	1583	6512	3804	1017	4554
Q3U962	6615	87	162	4187	9626	105	9409
Q8BNA3	1970	0	0	0	0	0	5
uc029qob.1	930	0	0	2	2	0	3
uc011wkd.2	26	0	0	0	0	0	0
uc029qoc.1	47	3	0	0	0	0	0
uc029qod.1	48	2	3	0	0	7	0
uc011wke.1	24	0	0	0	0	0	0
Q3U821	2612	247	512	532	380	283	453
Q3MIA1	2203	8	40	27	2	13	3
Q9JHI9	3380	215	83	15	60	95	43
NP_058613	3913	3	0	0	0	0	0
C5H8V4	431	0	0	0	0	0	0
uc011wki.2	512	0	0	0	0	0	0
uc011wkk.1	3483	0	0	0	0	0	0
uc011wkl.1	3363	0	0	0	0	0	0
uc011wkm.1	4292	0	0	0	0	0	0
L7N1Y0	12318	0	3	173	255	5	337
uc029qoe.1	22	0	0	0	0	0	0
uc007awy.2	5355	0	0	14	15	0	10
uc007awz.2	2978	0	0	0	0	0	3
uc007axa.1	57	8	15	9	2	15	18
A0A087WR13	12282	3	8	36	62	0	85
Q6P5F6	5422	1085	1240	4108	4544	697	4906
uc033fiz.1	105	0	0	0	0	0	0
uc007axe.1	58	0	0	0	0	0	0
Q8BHV2	542	0	0	0	0	0	0
uc029qof.1	34	0	2	0	0	0	0
uc007axh.1	1274	0	0	0	0	0	0
uc007axi.1	2718	0	0	3	0	0	0
Q9QYM9	3339	0	3	21	20	0	17
uc029qog.1	2552	0	0	7	3	0	5
Q63918	3055	180	675	6339	12860	860	11694
uc007axl.1	546	3	10	18	35	13	53
uc007axm.1	4645	1583	2648	3606	5752	3234	6791
NP_001297477	2362	0	0	0	0	0	0
Q8BGW5	2838	0	0	0	0	0	0
NP_001297478	3046	0	5	0	5	3	2
uc007axq.1	3889	72	42	5	18	68	8
Q7TQD7	5053	0	0	0	2	3	0
P46735	4966	0	0	0	0	0	0
E9QNH6	4879	0	0	0	0	0	0
uc029qoh.1	428	0	0	0	0	0	0
D3YV80	3111	0	2	3	0	5	0
uc007axv.3	1615	2	0	2	0	0	0
Q3V157	3151	3	2	52	52	0	48
uc007axw.2	1410	0	0	0	0	0	0
A0A087WSQ5	1478	0	0	0	0	0	0
Q99K94	2697	15	43	12	18	32	15
Q8C3V4	5168	0	0	0	0	0	0
A0A087WSP5	5135	0	0	0	0	0	0
Q91Y52	3729	0	0	0	0	0	0
D3Z7P3	4973	323	808	3273	2870	837	3783
F6U529	3245	0	3	14	15	15	12
D3Z7P3-2	4419	0	0	0	0	0	0
uc056ycr.1	3029	0	2	3	3	0	2
Q61122	5088	3162	9251	5353	6436	8708	7412
uc029qoi.1	27	0	0	0	0	3	0
uc029qoj.1	3348	0	0	0	0	0	0
Q8CB65	3394	0	0	0	0	0	2
uc029qok.1	3279	0	0	0	0	0	0
Q8BSW9	2880	0	0	0	0	0	0
uc029qol.1	4697	0	5	2	5	0	5
D3Z183	4769	2266	4472	952	1817	3913	1888
Q8CBH5	4204	8	45	6	10	30	3
P49442	1774	280	530	500	740	435	607
uc011wkr.2	420	0	0	0	0	0	0
Q8QZS1	1838	1030	1102	1175	1145	1185	1335
Q9CPS8	1042	202	12	734	683	15	743
O08689	2705	0	0	0	0	0	5
Q9DA74	627	0	0	2	0	0	0
Q8K119	3107	138	155	125	162	80	152
uc007ayw.1	531	0	0	0	0	0	0
NP_663492	3076	2	0	3	0	3	0
Q921I0	1846	512	535	95	143	480	140
Q6PEB4	2661	0	5	0	5	3	3
uc011wkt.2	1947	0	0	0	0	2	0
uc007azc.2	1790	0	0	0	0	0	0
NP_001272768	1234	0	3	0	0	0	2
uc007aze.2	3227	2	0	5	0	0	10
Q8BFS9	2623	0	0	0	0	0	0
Q3TGY6	1011	0	0	0	0	0	0
uc007azf.1	470	0	0	0	0	0	0
E9Q0T8	12272	0	3	16	45	0	42
uc007azi.1	732	0	0	3	0	0	0
Q8BG48	3278	867	725	1877	1165	558	1285
Q6I6G8	11179	110	10	314	473	10	525
uc033fjb.1	72	0	0	0	0	0	0
A3KPB7	1130	0	0	0	2	0	0
Q8C8B5	1799	3	0	7	2	0	0
E9Q7E1	1204	0	0	0	0	0	0
Q8CDI7	3807	0	0	0	0	0	0
uc011wkx.1	3992	0	0	0	0	0	0
Q3TMP1	4764	470	482	632	1062	440	838
Q3UUQ7	10579	143	175	465	470	185	473
NP_001156786	1408	0	0	0	0	0	0
Q3UUQ7-2	3092	5	8	5	3	5	5
B2RXR6	6140	27	57	936	1158	100	1290
uc007azt.1	633	0	0	0	0	0	0
Q8BYT6	3706	0	0	2	2	0	0
Q8C839	3353	70	100	109	102	127	60
G5E866	6191	6506	12611	12535	10154	12636	10147
A0JLN0	3464	1125	2408	4271	3121	2117	2970
A0A0R4J066	1733	0	0	0	0	0	0
G5E8J7	1583	0	0	0	0	0	0
uc057aum.1	2119	33	55	29	25	53	5
P63038	2332	10611	20221	11707	6504	13598	7402
Q64433	768	2413	5398	3242	1695	3712	1962
Q6PEB6	2826	0	0	0	0	0	0
E0CXA9	2763	0	0	0	0	0	0
uc007bae.1	2783	0	0	0	0	0	0
uc029qon.1	37	3	5	2	0	3	3
uc007baf.1	888	5	40	25	25	37	28
Q8CHX7	3754	110	30	150	297	17	150
uc007bah.1	942	0	0	0	0	0	0
